Pinicial Pfinal Longitud_A* Longitud_HPA* Tiempo_A* Tiempo_preprocesamiento_HPA* Tiempo_ES_HPA* Tiempo_refinamiento_HPA* Nodos_A* Nodos_HPA* %error
(223,193) (234,165) 29 33 0.00295455 0.85675342 0.00215114 1.6E-6 36 8 13.79 
(204,272) (109,118) 227 245 0.56950417 0.85675342 0.00158587 1.8034E-4 6582 520 7.92 
(43,144) (41,200) 57 58 0.0046203 0.85675342 0.00211603 3.63E-6 56 13 1.75 
(126,53) (241,207) 162 175 0.03694982 0.85675342 0.00148091 1.95E-5 479 114 8.02 
(46,217) (224,200) 206 215 0.54381712 0.85675342 0.00208918 1.2287E-4 6365 426 4.36 
(56,98) (69,257) 160 165 0.08679246 0.85675342 0.00149411 1.355E-5 1098 92 3.12 
(188,222) (60,135) 221 230 0.38246156 0.85675342 0.00138969 8.469E-5 4644 350 4.07 
(24,175) (254,222) 254 268 0.68369085 0.85675342 0.00195885 1.5896E-4 7816 516 5.51 
(208,150) (23,153) 186 207 0.38057199 0.85675342 0.00189121 1.3719E-4 4534 428 11.29 
(69,107) (227,273) 258 277 0.83035172 0.85675342 0.00182316 2.9634E-4 9204 684 7.36 
(106,164) (167,82) 203 223 0.59254078 0.85675342 0.00206638 1.963E-4 7044 566 9.85 
(64,118) (193,75) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(76,255) (130,209) 55 62 0.00447003 0.85675342 0.00111196 5.08E-6 54 39 12.72 
(263,75) (118,127) 170 184 0.56504412 0.85675342 0.00199318 1.4138E-4 6644 457 8.23 
(41,122) (106,240) 152 158 0.26694221 0.85675342 9.2896E-4 3.401E-5 3271 186 3.94 
(107,112) (189,154) 110 123 0.13357359 0.85675342 0.00134879 2.205E-5 1710 151 11.81 
(27,196) (44,122) 75 77 0.00591536 0.85675342 0.00145947 5.26E-6 74 38 2.66 
(77,261) (32,124) 138 145 0.01094482 0.85675342 0.00151068 2.482E-5 137 137 5.07 
(262,36) (76,238) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(179,264) (114,125) 249 268 0.54710089 0.85675342 0.00173228 1.6709E-4 6450 496 7.63 
(205,264) (255,72) 209 214 0.08154007 0.85675342 0.00207731 4.422E-5 1019 185 2.39 
(183,100) (146,206) 210 221 0.6964015 0.85675342 0.00161257 2.0398E-4 7948 558 5.23 
(108,162) (110,101) 62 63 0.04080002 0.85675342 9.8208E-4 3.61E-6 538 33 1.61 
(234,202) (178,142) 73 83 0.11893159 0.85675342 0.00180194 2.015E-5 1478 119 13.69 
(128,87) (114,125) 39 40 0.00537118 0.85675342 0.00187509 2.58E-6 72 18 2.56 
(191,103) (267,137) 77 80 0.01210038 0.85675342 0.00217363 8.11E-6 150 49 3.89 
(211,94) (56,239) 288 300 0.97477708 0.85675342 0.00210637 3.3912E-4 10823 735 4.16 
(55,257) (289,110) 305 323 1.02111887 0.85675342 0.00131143 4.3014E-4 11369 868 5.9 
(218,187) (32,206) 233 244 0.51637488 0.85675342 0.00218004 1.6897E-4 6142 514 4.72 
(55,178) (117,225) 107 114 0.09579368 0.85675342 0.00230719 1.422E-5 1195 89 6.54 
(183,250) (46,229) 259 273 0.32926225 0.85675342 0.00206632 8.69E-5 3992 350 5.4 
(38,123) (29,126) 10 13 7.5415E-4 0.85675342 0.00209622 4.9E-7 9 3 30.0 
(181,51) (101,211) 282 305 0.75903468 0.85675342 0.00191759 2.4864E-4 8150 617 8.15 
(86,86) (229,259) 226 242 0.28644358 0.85675342 0.0010253 7.415E-5 3488 306 7.07 
(270,140) (219,158) 52 56 0.00478328 0.85675342 0.00109369 5.22E-6 62 38 7.69 
(198,239) (70,251) 133 141 0.04724388 0.85675342 0.00107802 1.347E-5 622 103 6.01 
(270,94) (51,107) 220 242 0.72266097 0.85675342 0.0018498 2.4598E-4 8300 627 10.0 
(265,67) (213,112) 53 59 0.00411379 0.85675342 0.00198356 3.4E-6 52 27 11.32 
(62,104) (206,266) 270 287 1.44245348 0.85675342 0.00203166 5.3682E-4 14570 929 6.29 
(195,277) (100,121) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(48,166) (39,183) 18 19 0.00138858 0.85675342 0.0021774 1.02E-6 17 6 5.55 
(176,174) (31,138) 208 222 0.29703716 0.85675342 0.00195353 7.997E-5 3762 325 6.73 
(109,187) (228,217) 127 136 0.17350224 0.85675342 0.00208984 2.916E-5 2218 186 7.08 
(190,73) (149,104) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(87,176) (54,190) 125 132 0.22299192 0.85675342 0.00181182 3.606E-5 2799 190 5.6 
(49,183) (48,176) 8 8 5.6069E-4 0.85675342 0.00280619 6.2E-7 7 3 0.0 
(109,157) (246,266) 216 228 0.46505729 0.85675342 0.00184623 1.2065E-4 5628 432 5.55 
(165,90) (23,185) 277 302 0.82040827 0.85675342 0.00151953 3.3383E-4 9280 741 9.02 
(230,169) (242,122) 48 49 0.00396795 0.85675342 0.00106205 3.23E-6 49 21 2.08 
(179,173) (9,126) 230 251 0.53283148 0.85675342 0.00165308 1.1674E-4 6389 420 9.13 
(229,27) (216,100) 131 141 0.11695879 0.85675342 0.00135903 1.577E-5 1484 122 7.63 
(230,254) (236,258) 7 7 4.7279E-4 0.85675342 0.0022144 3.3E-7 6 1 0.0 
(115,30) (131,96) 76 80 0.02115521 0.85675342 0.00144902 7.32E-6 296 59 5.26 
(268,83) (225,26) 179 191 0.49910897 0.85675342 0.00198859 1.2078E-4 5904 424 6.7 
(247,131) (294,114) 51 56 0.08233764 0.85675342 0.00207566 1.196E-5 1011 80 9.8 
(79,176) (236,106) 200 216 0.36911256 0.85675342 0.00107463 9.172E-5 4582 357 8.0 
(237,232) (108,151) 171 178 0.33836 0.85675342 0.00213406 8.891E-5 4101 316 4.09 
(111,239) (236,101) 252 260 0.58294951 0.85675342 0.00175282 1.6851E-4 7014 503 3.17 
(30,179) (33,178) 4 4 2.4649E-4 0.85675342 0.00111927 6.8E-7 3 1 0.0 
(202,163) (238,107) 57 60 0.00574679 0.85675342 0.00223931 7.89E-6 73 39 5.26 
(113,159) (221,120) 157 167 0.26511647 0.85675342 0.00167263 5.514E-5 3312 262 6.36 
(61,101) (110,155) 133 139 0.27641594 0.85675342 0.00162686 4.277E-5 3436 219 4.51 
(230,179) (229,112) 68 69 0.00537733 0.85675342 0.00105239 2.81E-6 67 14 1.47 
(73,90) (49,174) 85 88 0.00941715 0.85675342 0.00204065 8.35E-6 127 55 3.52 
(191,280) (3,125) 353 374 1.51936252 0.85675342 0.00164845 7.3776E-4 14934 1139 5.94 
